"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Login successfully","firefox","Sat Sep 27 02:46:21 UTC 2025","passed","Sat Sep 27 02:46:22 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","153","Check product list page","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:09 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","824","(a) Add two products and verify cart","firefox","Sat Sep 27 02:46:25 UTC 2025","passed","Sat Sep 27 02:46:26 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","765","Login button is visible and enabled by default","webkit","Sat Sep 27 02:46:40 UTC 2025","passed","Sat Sep 27 02:46:41 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","603","Login successfully","webkit","Sat Sep 27 02:46:46 UTC 2025","passed","Sat Sep 27 02:46:47 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","569","Login with invalid password shows error","firefox","Sat Sep 27 02:46:19 UTC 2025","passed","Sat Sep 27 02:46:20 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1605","User can log in to saucedemo.com - @Exe1","firefox","Sat Sep 27 02:46:15 UTC 2025","passed","Sat Sep 27 02:46:17 UTC 2025","","exercise1/exercise_1_4.spec.ts","",""
"","311","Login successfully","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:08 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","560","Login with empty password shows ""Password is required""","firefox","Sat Sep 27 02:46:20 UTC 2025","passed","Sat Sep 27 02:46:21 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","545","(c) Verify validation error for empty fields","chromium","Sat Sep 27 02:46:14 UTC 2025","passed","Sat Sep 27 02:46:14 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","850","(c) Verify validation error for empty fields","firefox","Sat Sep 27 02:46:30 UTC 2025","passed","Sat Sep 27 02:46:31 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","959","(a) Complete checkout with one product","firefox","Sat Sep 27 02:46:28 UTC 2025","passed","Sat Sep 27 02:46:29 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","270","Logo image is visible on the login page","chromium","Sat Sep 27 02:46:06 UTC 2025","passed","Sat Sep 27 02:46:06 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","380","Locked-out user shows locked out error","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:08 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","709","(b) Failed login with wrong password","firefox","Sat Sep 27 02:46:23 UTC 2025","passed","Sat Sep 27 02:46:24 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","635","(c) Remove all products and verify empty cart","chromium","Sat Sep 27 02:46:12 UTC 2025","passed","Sat Sep 27 02:46:13 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","1178","(c) Verify validation error for empty fields","webkit","Sat Sep 27 02:46:57 UTC 2025","passed","Sat Sep 27 02:46:58 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","440","(a) Successful login with standard_user","chromium","Sat Sep 27 02:46:09 UTC 2025","passed","Sat Sep 27 02:46:09 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","1623","(c) Logout after successful login","firefox","Sat Sep 27 02:46:24 UTC 2025","passed","Sat Sep 27 02:46:25 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","801","Login with empty username shows ""Username is required""","webkit","Sat Sep 27 02:46:44 UTC 2025","passed","Sat Sep 27 02:46:45 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","440","Login button is visible and enabled by default","chromium","Sat Sep 27 02:46:05 UTC 2025","passed","Sat Sep 27 02:46:06 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","257","Check product list page","firefox","Sat Sep 27 02:46:22 UTC 2025","passed","Sat Sep 27 02:46:22 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","748","Login with valid credentials lands on Products page","firefox","Sat Sep 27 02:46:18 UTC 2025","passed","Sat Sep 27 02:46:19 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","655","Logo image is visible on the login page","webkit","Sat Sep 27 02:46:41 UTC 2025","passed","Sat Sep 27 02:46:42 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1121","(c) Remove all products and verify empty cart","firefox","Sat Sep 27 02:46:27 UTC 2025","passed","Sat Sep 27 02:46:28 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","249","Check product list page","webkit","Sat Sep 27 02:46:47 UTC 2025","passed","Sat Sep 27 02:46:47 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","1910","(c) Logout after successful login","webkit","Sat Sep 27 02:46:49 UTC 2025","passed","Sat Sep 27 02:46:51 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","7201","User can log in to saucedemo.com - @Exe1","webkit","Sat Sep 27 02:46:32 UTC 2025","passed","Sat Sep 27 02:46:40 UTC 2025","","exercise1/exercise_1_4.spec.ts","",""
"","803","(a) Successful login with standard_user","firefox","Sat Sep 27 02:46:22 UTC 2025","passed","Sat Sep 27 02:46:23 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","386","Login with empty username shows ""Username is required""","chromium","Sat Sep 27 02:46:07 UTC 2025","passed","Sat Sep 27 02:46:07 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","474","Login button is visible and enabled by default","firefox","Sat Sep 27 02:46:17 UTC 2025","passed","Sat Sep 27 02:46:18 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","963","(b) Verify total calculation with multiple products","firefox","Sat Sep 27 02:46:29 UTC 2025","passed","Sat Sep 27 02:46:30 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","378","(b) Failed login with wrong password","chromium","Sat Sep 27 02:46:09 UTC 2025","passed","Sat Sep 27 02:46:09 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","1250","(b) Verify total calculation with multiple products","webkit","Sat Sep 27 02:46:56 UTC 2025","passed","Sat Sep 27 02:46:57 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","1168","(b) Remove one product and verify remaining","webkit","Sat Sep 27 02:46:52 UTC 2025","passed","Sat Sep 27 02:46:53 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","447","Logo image is visible on the login page","firefox","Sat Sep 27 02:46:18 UTC 2025","passed","Sat Sep 27 02:46:18 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","890","(b) Remove one product and verify remaining","firefox","Sat Sep 27 02:46:26 UTC 2025","passed","Sat Sep 27 02:46:27 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","651","(a) Complete checkout with one product","chromium","Sat Sep 27 02:46:13 UTC 2025","passed","Sat Sep 27 02:46:13 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","610","(b) Verify total calculation with multiple products","chromium","Sat Sep 27 02:46:13 UTC 2025","passed","Sat Sep 27 02:46:14 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","581","(a) Add two products and verify cart","chromium","Sat Sep 27 02:46:11 UTC 2025","passed","Sat Sep 27 02:46:11 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","397","Login with invalid password shows error","chromium","Sat Sep 27 02:46:07 UTC 2025","passed","Sat Sep 27 02:46:07 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1190","(c) Remove all products and verify empty cart","webkit","Sat Sep 27 02:46:53 UTC 2025","passed","Sat Sep 27 02:46:54 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","565","Login with empty username shows ""Username is required""","firefox","Sat Sep 27 02:46:20 UTC 2025","passed","Sat Sep 27 02:46:20 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","547","Locked-out user shows locked out error","firefox","Sat Sep 27 02:46:21 UTC 2025","passed","Sat Sep 27 02:46:21 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","430","Login with valid credentials lands on Products page","chromium","Sat Sep 27 02:46:06 UTC 2025","passed","Sat Sep 27 02:46:07 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","830","(b) Failed login with wrong password","webkit","Sat Sep 27 02:46:48 UTC 2025","passed","Sat Sep 27 02:46:49 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","1324","(c) Logout after successful login","chromium","Sat Sep 27 02:46:09 UTC 2025","passed","Sat Sep 27 02:46:11 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","377","Login with empty password shows ""Password is required""","chromium","Sat Sep 27 02:46:07 UTC 2025","passed","Sat Sep 27 02:46:08 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1009","Login with valid credentials lands on Products page","webkit","Sat Sep 27 02:46:42 UTC 2025","passed","Sat Sep 27 02:46:43 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","584","(b) Remove one product and verify remaining","chromium","Sat Sep 27 02:46:11 UTC 2025","passed","Sat Sep 27 02:46:12 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","784","Login with empty password shows ""Password is required""","webkit","Sat Sep 27 02:46:45 UTC 2025","passed","Sat Sep 27 02:46:45 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1259","(a) Complete checkout with one product","webkit","Sat Sep 27 02:46:55 UTC 2025","passed","Sat Sep 27 02:46:56 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","824","Login with invalid password shows error","webkit","Sat Sep 27 02:46:43 UTC 2025","passed","Sat Sep 27 02:46:44 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","824","Locked-out user shows locked out error","webkit","Sat Sep 27 02:46:45 UTC 2025","passed","Sat Sep 27 02:46:46 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1004","(a) Successful login with standard_user","webkit","Sat Sep 27 02:46:47 UTC 2025","passed","Sat Sep 27 02:46:48 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","648","User can log in to saucedemo.com - @Exe1","chromium","Sat Sep 27 02:46:04 UTC 2025","passed","Sat Sep 27 02:46:04 UTC 2025","","exercise1/exercise_1_4.spec.ts","",""
"","1116","(a) Add two products and verify cart","webkit","Sat Sep 27 02:46:51 UTC 2025","passed","Sat Sep 27 02:46:52 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
